index,raw_value,sorted_value,exact,mse,count_sketch_ms,exact_f2_ms,counter_bitwidth
1,11180124,11171892,11184812,36156316.16,10054.4527,14853.4029,23
2,11201308,11172108,11184812,36156316.16,10361.1919,14853.4029,23
3,11187564,11172132,11184812,36156316.16,10380.283,14853.4029,23
4,11184260,11176212,11184812,36156316.16,10744.3341,14853.4029,23
5,11182916,11176332,11184812,36156316.16,10462.4177,14853.4029,23
6,11184116,11176452,11184812,36156316.16,10455.2708,14853.4029,23
7,11184556,11176468,11184812,36156316.16,10444.4049,14853.4029,23
8,11172108,11177116,11184812,36156316.16,10440.7748,14853.4029,23
9,11180268,11177356,11184812,36156316.16,10812.0552,14853.4029,23
10,11189340,11177948,11184812,36156316.16,10411.0305,14853.4029,23
11,11183260,11178244,11184812,36156316.16,10358.6018,14853.4029,23
12,11189892,11178580,11184812,36156316.16,10418.4001,14853.4029,23
13,11185140,11178612,11184812,36156316.16,10383.0077,14853.4029,23
14,11176212,11179244,11184812,36156316.16,10387.2118,14853.4029,23
15,11178580,11179932,11184812,36156316.16,10415.2858,14853.4029,23
16,11190140,11180012,11184812,36156316.16,10368.3885,14853.4029,23
17,11180012,11180028,11184812,36156316.16,10378.4259,14853.4029,23
18,11184844,11180116,11184812,36156316.16,10413.572,14853.4029,23
19,11193700,11180124,11184812,36156316.16,10503.289,14853.4029,23
20,11182732,11180268,11184812,36156316.16,10416.143,14853.4029,23
21,11189276,11180308,11184812,36156316.16,10434.4755,14853.4029,23
22,11184572,11180956,11184812,36156316.16,10330.5333,14853.4029,23
23,11191604,11181204,11184812,36156316.16,10394.2985,14853.4029,23
24,11192068,11181220,11184812,36156316.16,10408.3431,14853.4029,23
25,11188076,11181308,11184812,36156316.16,10810.2293,14853.4029,23
26,11176468,11181916,11184812,36156316.16,10876.9458,14853.4029,23
27,11186292,11182092,11184812,36156316.16,10505.3164,14853.4029,23
28,11181204,11182596,11184812,36156316.16,10391.834,14853.4029,23
29,11194716,11182732,11184812,36156316.16,10407.9085,14853.4029,23
30,11191580,11182916,11184812,36156316.16,10391.5539,14853.4029,23
31,11184060,11183156,11184812,36156316.16,10428.5001,14853.4029,23
32,11185228,11183260,11184812,36156316.16,10408.6898,14853.4029,23
33,11184852,11183356,11184812,36156316.16,10494.2315,14853.4029,23
34,11180116,11183548,11184812,36156316.16,10397.4272,14853.4029,23
35,11184396,11183636,11184812,36156316.16,10407.9357,14853.4029,23
36,11179244,11183940,11184812,36156316.16,10378.9079,14853.4029,23
37,11193372,11184060,11184812,36156316.16,10368.5872,14853.4029,23
38,11189012,11184116,11184812,36156316.16,10428.5021,14853.4029,23
39,11172132,11184260,11184812,36156316.16,10375.4418,14853.4029,23
40,11198268,11184356,11184812,36156316.16,10507.1232,14853.4029,23
41,11181220,11184396,11184812,36156316.16,10404.6487,14853.4029,23
42,11184796,11184412,11184812,36156316.16,10370.979,14853.4029,23
43,11184356,11184468,11184812,36156316.16,10403.7229,14853.4029,23
44,11178244,11184556,11184812,36156316.16,10427.7334,14853.4029,23
45,11183356,11184572,11184812,36156316.16,10388.0752,14853.4029,23
46,11189284,11184796,11184812,36156316.16,10410.0066,14853.4029,23
47,11181308,11184844,11184812,36156316.16,10482.4599,14853.4029,23
48,11179932,11184852,11184812,36156316.16,10388.4983,14853.4029,23
49,11188868,11184940,11184812,36156316.16,10420.2031,14853.4029,23
50,11171892,11184988,11184812,36156316.16,10395.623,14853.4029,23
51,11186244,11184988,11184812,36156316.16,10349.4812,14853.4029,23
52,11189372,11185108,11184812,36156316.16,10374.479,14853.4029,23
53,11184940,11185140,11184812,36156316.16,10377.5737,14853.4029,23
54,11194764,11185228,11184812,36156316.16,10481.1331,14853.4029,23
55,11191724,11185644,11184812,36156316.16,10400.4322,14853.4029,23
56,11188180,11185804,11184812,36156316.16,10409.0349,14853.4029,23
57,11185644,11186244,11184812,36156316.16,10458.1917,14853.4029,23
58,11196196,11186292,11184812,36156316.16,10350.5004,14853.4029,23
59,11180028,11186940,11184812,36156316.16,10382.6616,14853.4029,23
60,11184412,11187092,11184812,36156316.16,10386.4305,14853.4029,23
61,11190900,11187564,11184812,36156316.16,10501.6528,14853.4029,23
62,11176452,11187780,11184812,36156316.16,10388.55,14853.4029,23
63,11192732,11187964,11184812,36156316.16,10417.4354,14853.4029,23
64,11177356,11188076,11184812,36156316.16,10392.7173,14853.4029,23
65,11184988,11188180,11184812,36156316.16,10344.8704,14853.4029,23
66,11190404,11188244,11184812,36156316.16,10387.6529,14853.4029,23
67,11181916,11188700,11184812,36156316.16,10471.5391,14853.4029,23
68,11190020,11188868,11184812,36156316.16,10492.4514,14853.4029,23
69,11196884,11189012,11184812,36156316.16,10380.4354,14853.4029,23
70,11183548,11189124,11184812,36156316.16,10388.6334,14853.4029,23
71,11189764,11189276,11184812,36156316.16,10382.7488,14853.4029,23
72,11190468,11189284,11184812,36156316.16,10356.5715,14853.4029,23
73,11187964,11189340,11184812,36156316.16,10403.5912,14853.4029,23
74,11183940,11189372,11184812,36156316.16,10370.5435,14853.4029,23
75,11186940,11189636,11184812,36156316.16,10493.7065,14853.4029,23
76,11190756,11189764,11184812,36156316.16,10415.8111,14853.4029,23
77,11184468,11189892,11184812,36156316.16,10407.9383,14853.4029,23
78,11196780,11190020,11184812,36156316.16,10384.8672,14853.4029,23
79,11184988,11190140,11184812,36156316.16,10347.0481,14853.4029,23
80,11180956,11190404,11184812,36156316.16,10389.0264,14853.4029,23
81,11188244,11190468,11184812,36156316.16,10459.1014,14853.4029,23
82,11187780,11190756,11184812,36156316.16,10471.3848,14853.4029,23
83,11183156,11190900,11184812,36156316.16,10375.8168,14853.4029,23
84,11177116,11191580,11184812,36156316.16,10438.5931,14853.4029,23
85,11185804,11191604,11184812,36156316.16,10389.7746,14853.4029,23
86,11176332,11191724,11184812,36156316.16,10319.4769,14853.4029,23
87,11189124,11192068,11184812,36156316.16,10323.5697,14853.4029,23
88,11188700,11192732,11184812,36156316.16,10299.4074,14853.4029,23
