index,raw_value,sorted_value,exact,mse,count_sketch_ms,exact_f2_ms,counter_bitwidth
79,10530492,11934060,11184812,794832643297.28,858059.0123,14386.4247,8
80,12035540,11947364,11184812,794832643297.28,858059.0123,14386.4247,8
81,9697580,11948364,11184812,794832643297.28,858059.0123,14386.4247,8
82,10220892,11975028,11184812,794832643297.28,858059.0123,14386.4247,8
83,9986572,11987460,11184812,794832643297.28,858059.0123,14386.4247,8
84,10241884,12035540,11184812,794832643297.28,858059.0123,14386.4247,8
85,11413260,12084124,11184812,794832643297.28,858059.0123,14386.4247,8
86,10658660,12262036,11184812,794832643297.28,858059.0123,14386.4247,8
87,11073988,12284708,11184812,794832643297.28,858059.0123,14386.4247,8
88,11116052,12385308,11184812,794832643297.28,858059.0123,14386.4247,8
89,9622420,12386164,11184812,794832643297.28,858059.0123,14386.4247,8
90,12386164,12433932,11184812,794832643297.28,858059.0123,14386.4247,8
91,11674660,12446004,11184812,794832643297.28,858059.0123,14386.4247,8
92,11375924,12453556,11184812,794832643297.28,858059.0123,14386.4247,8
93,12433932,12479716,11184812,794832643297.28,858059.0123,14386.4247,8
94,11321508,12580068,11184812,794832643297.28,858059.0123,14386.4247,8
95,11873924,12584532,11184812,794832643297.28,858059.0123,14386.4247,8
96,11047236,12652372,11184812,794832643297.28,858059.0123,14386.4247,8
97,12385308,12698324,11184812,794832643297.28,858059.0123,14386.4247,8
98,11282116,12821044,11184812,794832643297.28,858059.0123,14386.4247,8
99,10553308,12944852,11184812,794832643297.28,858059.0123,14386.4247,8
100,10970748,13652476,11184812,794832643297.28,858059.0123,14386.4247,8
1,11560108,10651060,11184812,66618588121.6,869452.9652,14386.4247,12
2,11338852,10673116,11184812,66618588121.6,869452.9652,14386.4247,12
3,11165812,10684668,11184812,66618588121.6,869452.9652,14386.4247,12
4,10842780,10768500,11184812,66618588121.6,869452.9652,14386.4247,12
5,11313132,10775500,11184812,66618588121.6,869452.9652,14386.4247,12
6,10775500,10780412,11184812,66618588121.6,869452.9652,14386.4247,12
7,11067252,10811764,11184812,66618588121.6,869452.9652,14386.4247,12
8,11169524,10842044,11184812,66618588121.6,869452.9652,14386.4247,12
9,11326228,10842780,11184812,66618588121.6,869452.9652,14386.4247,12
10,11433940,10853404,11184812,66618588121.6,869452.9652,14386.4247,12
11,11689468,10859892,11184812,66618588121.6,869452.9652,14386.4247,12
12,11281020,10897420,11184812,66618588121.6,869452.9652,14386.4247,12
13,11036516,10900188,11184812,66618588121.6,869452.9652,14386.4247,12
14,11499284,10937716,11184812,66618588121.6,869452.9652,14386.4247,12
15,11042484,10962692,11184812,66618588121.6,869452.9652,14386.4247,12
16,10842044,10983420,11184812,66618588121.6,869452.9652,14386.4247,12
17,11066820,10998348,11184812,66618588121.6,869452.9652,14386.4247,12
18,11564932,10998916,11184812,66618588121.6,869452.9652,14386.4247,12
19,11161148,11013100,11184812,66618588121.6,869452.9652,14386.4247,12
20,10780412,11014332,11184812,66618588121.6,869452.9652,14386.4247,12
21,11335764,11016948,11184812,66618588121.6,869452.9652,14386.4247,12
22,11704404,11031628,11184812,66618588121.6,869452.9652,14386.4247,12
23,11459308,11036516,11184812,66618588121.6,869452.9652,14386.4247,12
24,11471892,11037588,11184812,66618588121.6,869452.9652,14386.4247,12
25,10897420,11041740,11184812,66618588121.6,869452.9652,14386.4247,12
26,11132380,11042484,11184812,66618588121.6,869452.9652,14386.4247,12
27,10962692,11043332,11184812,66618588121.6,869452.9652,14386.4247,12
28,11357532,11045308,11184812,66618588121.6,869452.9652,14386.4247,12
29,11041740,11058236,11184812,66618588121.6,869452.9652,14386.4247,12
30,11634340,11066820,11184812,66618588121.6,869452.9652,14386.4247,12
31,11362572,11067252,11184812,66618588121.6,869452.9652,14386.4247,12
32,11016948,11092412,11184812,66618588121.6,869452.9652,14386.4247,12
33,11218044,11092940,11184812,66618588121.6,869452.9652,14386.4247,12
34,11094508,11094508,11184812,66618588121.6,869452.9652,14386.4247,12
35,12003588,11095196,11184812,66618588121.6,869452.9652,14386.4247,12
36,11239572,11096196,11184812,66618588121.6,869452.9652,14386.4247,12
37,11013100,11113476,11184812,66618588121.6,869452.9652,14386.4247,12
38,11095196,11115828,11184812,66618588121.6,869452.9652,14386.4247,12
39,11336148,11130364,11184812,66618588121.6,869452.9652,14386.4247,12
40,10684668,11132380,11184812,66618588121.6,869452.9652,14386.4247,12
41,11194444,11142764,11184812,66618588121.6,869452.9652,14386.4247,12
